x :=
1  12    1
2  24    1
3  32    1
4  39    1
5  46    1
6  53    1
7  62    1
8  70    1
9  77    1
10 85    1
11 93    1
12 109   1
13 117   1
14 125   1
15 133   1
16 141   1
17 149   1
18 157   1
19 165   1
20 173   1
21 181   1
22 189   1
23 205   1
24 221   1
25 227   1
26 253   1
27 259   1
28 268   1
29 276   1
30 283   1
31 290   1
32 298   1
33 306   1
34 313   1
35 329   1
36 345   1
37 361   1
38 377   1
39 393   1
40 401   1
41 409   1
42 417   1
43 425   1
44 432   1
45 441   1
46 445   1
47 455   1
48 463   1
49 470   1
50 478   1
51 486   1
52 494   1
53 510   1
54 526   1
55 542   1
56 558   1
57 574   1
58 589   1
59 606   1
60 614   1
61 622   1
62 630   1
63 638   1
64 654   1
65 659   1
66 670   1
67 686   1
68 702   1
69 718   1
70 734   1
71 749   1
72 766   1
73 782   1
74 798   1
75 810   1
76 830   1
77 846   1
78 862   1
79 878   1
80 890   1
81 902   1
82 910   1
83 926   1
84 933   1
85 942   1
86 949   1
87 966   1
88 973   1
89 974   1
90 988   1
;

y1 :=
1  12    1
3  32    1
5  46    1
7  62    1
8  70    1
10 85    1
13 117   1
14 125   1
15 133   1
16 141   1
17 149   1
21 181   1
23 205   1
24 221   1
29 276   1
31 290   1
32 298   1
33 306   1
34 313   1
37 361   1
38 377   1
40 401   1
42 417   1
43 425   1
44 432   1
45 441   1
46 445   1
47 455   1
52 494   1
54 526   1
55 542   1
56 558   1
57 574   1
59 606   1
60 614   1
63 638   1
64 654   1
65 659   1
66 670   1
67 686   1
72 766   1
73 782   1
74 798   1
75 810   1
76 830   1
78 862   1
79 878   1
82 910   1
83 926   1
84 933   1
85 942   1
88 973   1
89 974   1
90 988   1
;

Fuel = 8281.11

